Epoch,Loss (Total),Loss (Policy),Loss (Value),Loss (L2),Time [s]
1,5.8861451148986825,4.302029609680177,1.3563830852508545,0.22773230075836184,2948.6195828914642
2,5.22747278213501,3.971246242523194,1.0280239582061768,0.22820284962654114,5956.081548929215
3,4.9811692237854,3.7454137802124015,1.0070796012878418,0.2286754697561264,9659.094527959824
4,4.715239524841309,3.5307428836822514,0.9555556774139404,0.2289411574602127,13366.300535917282
5,4.439592361450195,3.2457878589630127,0.9646064639091492,0.2291976660490036,16443.17654633522
6,4.142628192901611,2.9409525394439697,0.9718691110610962,0.2298070341348648,20282.53451514244
7,3.85509181022644,2.647829294204712,0.9762424230575562,0.2310201972723007,23392.419575691227
8,3.5097904205322266,2.2988827228546143,0.9783705472946168,0.23253707587718964,26766.01852726937
9,3.249596118927002,2.0554125308990483,0.9598899483680724,0.2342936992645264,30152.93752765656
10,3.074305772781372,1.876391649246216,0.9616523981094359,0.2362611144781113,33730.65822315216
11,2.845280885696411,1.6661318540573118,0.9410400390625,0.2381091266870499,37147.27755689621
12,2.626189708709717,1.4648716449737549,0.9215615391731262,0.2397566735744477,40156.5363740921
13,2.415029287338257,1.2738460302352903,0.8999167680740356,0.24126656353473666,42902.460562706
14,2.308992624282837,1.1679927110671997,0.8984264731407166,0.2425736188888549,45780.495384693146
15,2.165158033370972,1.0409975051879885,0.8804219365119934,0.24373859167099,48472.29612350464
16,2.792863607406616,1.6485611200332642,0.8890230059623718,0.25527963042259216,51152.94614100456
17,2.3162853717803955,1.1939191818237305,0.8596630692481995,0.2627033889293671,53574.364148616776
18,2.1088182926177983,1.0086829662322998,0.8372393846511841,0.26289623975753784,55969.74916243552
19,1.9852367639541624,0.9055618047714232,0.8170117139816284,0.262663334608078,58320.349194288254
20,1.8483259677886963,0.7768929600715637,0.8091410994529724,0.26229187846183777,60465.751143932335
21,1.7201236486434937,0.7052146196365356,0.7531782984733582,0.26173073053359985,62656.33111071586
22,1.7120661735534668,0.6568785905838013,0.7941756844520569,0.2610118389129639,64885.624186277375
23,1.5656881332397459,0.5938252806663513,0.7117190361022949,0.2601437270641327,66771.40518426895
24,1.5532891750335691,0.6028148531913757,0.6912229657173157,0.25925135612487793,68957.50015544891
25,1.5057055950164795,0.5780168175697327,0.6689662337303162,0.2587226927280426,70971.9121105671
26,1.4787626266479492,0.5390967726707458,0.6816651225090027,0.25800085067749023,72946.90511989594
27,1.4717645645141602,0.5389412641525269,0.675524115562439,0.2572992146015167,74789.27016043662
28,1.397335410118103,0.4909723699092865,0.6500619053840637,0.2563011646270752,76716.40914773941
29,1.3515702486038208,0.4879484474658966,0.6086665987968445,0.25495553016662603,78558.4341173172
30,1.353844404220581,0.495766282081604,0.6042068004608154,0.2538712322711945,80594.83913040161
31,1.2823283672332764,0.4629901647567749,0.5663846731185913,0.2529535591602325,82421.7171421051
32,1.263573169708252,0.43110328912734985,0.5805163979530334,0.2519533932209015,84300.53113126755
33,1.2268054485321045,0.39874228835105896,0.5773018598556519,0.25076135993003845,85995.31411290169
34,1.2237422466278076,0.3957684934139252,0.5784398913383484,0.24953387677669525,87889.37011528015
35,1.2332983016967771,0.4126441478729248,0.5721944570541382,0.2484597861766815,89794.69904232025
36,1.2157137393951416,0.4063400030136109,0.561783492565155,0.2475903481245041,91545.07005286217
37,1.1918354034423828,0.3996530175209045,0.5453787446022034,0.2468036711215973,93159.8170044422
38,1.2309907674789429,0.4058650434017181,0.5787366032600403,0.2463889420032501,94689.21658611296
39,1.1714584827423096,0.38181671500206,0.5442274212837219,0.2454144656658173,96334.8480873108
40,1.1400377750396729,0.3611607551574707,0.5348429083824158,0.2440340220928192,98063.06902861595
41,1.1094014644622805,0.34602469205856323,0.5209218859672546,0.24245482683181765,99416.84402799603
42,1.0979411602020264,0.3614469468593597,0.4953745007514954,0.2411197274923325,101110.98303318024
43,1.125419855117798,0.3897390365600586,0.4950520396232605,0.2406289577484131,102943.83014845848
44,1.100924730300903,0.366619735956192,0.4947541356086731,0.23955082893371585,104726.83411717416
45,1.062875509262085,0.3416375517845154,0.4832384884357453,0.2379993796348572,106064.8951177597
46,1.052068114280701,0.3328204751014709,0.4829444289207458,0.236302986741066,107614.92811799052
47,1.0568054914474487,0.3486524522304535,0.4733914732933045,0.2347615212202072,109273.58211684227
48,1.0587561130523682,0.35278889536857605,0.4722737669944763,0.23369339108467105,110741.43611693382
49,1.0011636018753052,0.31475573778152466,0.4542104005813599,0.23219749331474304,112230.37411904336
50,0.9804957509040833,0.3052451610565185,0.4451068937778473,0.2301436811685562,113678.252150774
51,0.999274492263794,0.3288915157318115,0.4420845806598663,0.2282984405755997,115300.3331167698
52,0.9911190867424012,0.3307055532932281,0.4334453046321869,0.2269681841135025,117000.61811733244
53,0.967640221118927,0.32614338397979736,0.4155433475971222,0.22595344483852384,118360.31017446518
54,0.9734328389167786,0.34185171127319336,0.40636423230171204,0.2252167612314224,119826.4331817627
55,0.9295871257781982,0.3013949990272522,0.4044821262359619,0.2237098664045334,120997.9391169548
56,0.9017510414123536,0.28306129574775696,0.397162675857544,0.22152701020240784,122411.83011817932
57,0.8689879179000854,0.2761642336845398,0.37391039729118347,0.2189133912324905,123841.42611241339
58,0.9045867323875428,0.3199664354324341,0.3677617609500885,0.2168585360050201,125470.67415046693
59,0.8764532804489136,0.3012431561946869,0.3594923317432404,0.2157177925109864,126792.532132864
60,0.8495078086853027,0.2821555435657501,0.35353294014930725,0.2138193696737289,128329.12816905974
61,0.8154578804969788,0.27310314774513245,0.3309070765972137,0.21144752204418185,129883.87414121625
62,0.7967666387557983,0.2704559862613678,0.3170590698719025,0.20925161242485046,131163.3021121025
63,0.7816615104675293,0.2561855912208557,0.3184797465801239,0.2069961577653885,132235.88314437866
64,0.7778163552284241,0.257855087518692,0.315254807472229,0.20470649003982544,133609.79015159607
65,0.7919155955314636,0.2736864686012268,0.3156674802303314,0.20256154239177704,135308.12211847305
66,0.81327223777771,0.2905644178390503,0.3215216398239136,0.2011861652135849,136968.46712207794
67,0.7956699728965759,0.27958181500434875,0.3163717985153198,0.19971643388271326,138317.9101486206
68,0.8154083490371704,0.2826615571975708,0.3346066772937775,0.19814012944698334,139891.80211091042
69,0.7941002845764159,0.2784549593925476,0.31877490878105164,0.1968704462051392,141123.02821302414
70,0.8152701258659363,0.3080100417137146,0.3103373646736145,0.1969226151704788,142804.76413655278
71,0.7703048586845398,0.26719838380813604,0.3077937364578247,0.19531267881393435,144262.85213804245
72,0.7629060745239258,0.2530621290206909,0.3172158896923065,0.19262805581092834,145738.001152277
73,0.7682832479476929,0.2583220601081848,0.3199144005775452,0.1900467872619629,147143.52513861653
74,0.7806054949760437,0.2771163284778595,0.31508371233940125,0.1884055584669113,148640.9701514244
75,0.7711205482482909,0.2655250728130341,0.3183125853538513,0.18728289008140564,149932.40615177155
76,0.7592843174934387,0.2595187723636627,0.3141264319419861,0.1856390833854676,151324.19017457962
77,0.7810012698173523,0.2598493993282318,0.3369275629520416,0.18422435224056244,152556.69116544724
78,0.7772172689437866,0.262185662984848,0.33247533440589905,0.18255634605884552,153999.53016281128
79,0.7843410968780518,0.2683534622192383,0.33493727445602417,0.1810503602027893,155469.1171681881
80,0.7692062258720398,0.2585271596908569,0.3307423591613769,0.1799367219209671,156964.35816764832
81,0.7647624611854553,0.25383347272872925,0.33303824067115784,0.17789073288440704,158323.0681798458
82,0.7609149217605591,0.2534356713294983,0.33135515451431274,0.17612409591674805,159715.78716659546
83,0.7700027227401733,0.2618865966796875,0.33332613110542303,0.1747899353504181,161401.65716981888
84,0.7687188386917114,0.2615349590778351,0.3335641622543335,0.17361968755722046,163034.86216425896
85,0.7762264013290405,0.2667902112007141,0.3367878496646881,0.17264842987060547,164575.15323972702
86,0.7825394272804259,0.2667991518974304,0.3437748551368713,0.17196543514728546,166035.06816720965
87,0.7814956903457642,0.25364506244659424,0.3575536608695984,0.17029695212841034,167418.6911687851
88,0.8062554597854614,0.27205225825309753,0.36522561311721796,0.16897761821746826,169085.06718420982
89,0.8037343025207521,0.2743148803710937,0.3611200153827667,0.1682993620634079,170603.57116651535
90,0.7867461442947388,0.2619075179100037,0.35715192556381226,0.16768674552440646,171992.28417849538
91,0.8047292828559875,0.27966687083244324,0.35776376724243164,0.16729870438575745,173622.66719937325
92,0.7977080941200256,0.2649953365325928,0.3663123548030853,0.16640044748783112,174958.0602021217
93,0.805525004863739,0.2667821943759918,0.3734782636165619,0.1652645617723465,176510.33116698265
94,0.8176185488700867,0.27201658487319946,0.38080453872680653,0.16479739546775818,178105.67219853398
95,0.8049420714378357,0.2695299685001373,0.371230810880661,0.16418124735355374,179518.54316163066
96,0.8198977112770081,0.27823740243911743,0.3779923915863037,0.16366785764694214,180988.72675442696
97,0.8134207129478455,0.2712484896183014,0.37942174077034,0.1627504974603653,182676.54035234448
98,0.8135371804237366,0.26565343141555786,0.38614946603775024,0.16173426806926727,184034.20734500888
99,0.8128626346588135,0.26420915126800537,0.3877699077129364,0.16088366508483887,185376.92538404465
100,0.7997770905494691,0.25620001554489136,0.38358718156814575,0.1599898338317871,186718.40234923363
101,0.8149875402450562,0.2652090191841125,0.3903854191303253,0.15939302742481232,188097.94435143468
