Epoch,Time [s]
0,0.0
1,28.90099859237671
2,57.21801805496216
3,83.54400467872621
4,108.91701984405519
5,134.29803824424744
6,161.3079981803894
7,189.79701566696167
8,217.9980499744416
9,245.21599912643435
10,272.50502371788025
11,298.8100295066833
12,333.6320173740387
13,367.533016204834
14,399.27752447128296
15,432.8015244007111
16,470.82954573631287
17,507.2185287475586
18,543.4325251579285
19,584.1975259780884
20,631.1375527381898
21,669.8235242366792
22,712.7195255756378
23,760.743602514267
24,817.289145231247
25,864.0262203216553
26,909.3910388946533
27,972.4994418621063
28,1023.816844701767
29,1074.5239179134371
30,1139.4535796642306
31,1209.6164362430573
32,1270.7974581718445
33,1331.6194741725924
34,1386.868742465973
35,1438.4096231460571
36,1506.0851473808289
37,1566.6317241191864
38,1632.906097650528
39,1710.0896632671356
40,1767.0503561496735
41,1841.964448928833
42,1926.3624756336205
43,2005.2812254428864
44,2076.608201503753
45,2155.2232370376587
46,2233.3202376365657
47,2320.1722259521484
48,2379.5392124652867
49,2442.576200485229
50,2527.350195646286
51,2617.7022190093994
52,2724.8271980285645
53,2826.199202299118
54,2911.452562332153
55,2981.633562803268
56,3064.8286008834834
57,3144.421612501144
58,3227.3146226406093
59,3318.5286133289333
60,3403.805561304092
61,3498.2395818233485
62,3582.914578437805
63,3698.9506330490112
64,3804.570578098297
65,3899.9905800819392
66,4016.591589450836
67,4122.189561843872
68,4219.099566221237
69,4309.6895678043375
70,4404.568578004837
71,4493.974578857422
72,4590.026581764221
73,4675.588634967804
74,4775.673581123352
75,4900.643608331679
76,5009.917592048645
77,5119.480561494827
78,5201.165590286255
79,5300.946581363678
80,5411.9375619888315
81,5526.0785830020895
82,5645.2945868968945
83,5771.0645661354065
84,5890.266586780548
85,6014.250588417053
86,6134.885581254958
87,6230.277580499648
88,6330.7285926342
89,6475.756561994554
90,6599.515591144562
91,6704.553581476213
92,6836.8836307525635
93,6971.979562759399
94,7094.076581001282
95,7191.879561424255
96,7331.289590358734
97,7436.318580389024
98,7561.628590106964
99,7697.898582696916
100,7841.930593013763
101,7959.605579137801
102,8090.87261891365
103,8208.693600654602
104,8374.928565502167
105,8510.511561870575
106,8637.500568151474
107,8764.722563028336
108,8914.170562505722
109,9066.33156323433
110,9203.23857998848
111,9348.576601743698
112,9516.022603273392
113,9674.828563690186
114,9820.785581350328
115,9993.865588188173
116,10138.840579986572
117,10279.09058880806
118,10445.251591682434
119,10582.224561929705
120,10761.627563238144
121,10910.025316953659
122,11077.54936337471
123,11210.402337789536
124,11377.286317348478
125,11546.45531654358
126,11714.708318471909
127,11897.893335580826
128,12068.08833193779
129,12270.771340608597
130,12414.674315452576
131,12592.638317584993
132,12774.76731729507
133,12958.568332195284
134,13125.197317838667
135,13291.711317539217
136,13465.149334907532
137,13627.70733642578
138,13805.800406455994
139,13981.07932662964
140,14165.408353328703
141,14317.3043384552
142,14499.351321458817
143,14695.643334150314
144,14878.760336637495
145,15062.251321077349
146,15263.541316509249
147,15413.342333078384
148,15559.844316959385
149,15753.765323400496
150,15930.154388427734
151,16127.483334541319
152,16337.223316431046
153,16501.134344339367
154,16661.748342752457
155,16921.906316280365
156,17135.879331350327
157,17361.946321964264
158,17538.517334461212
159,17713.323334217068
160,17889.789334058758
161,18080.814324378967
162,18247.817368268967
163,18408.49837136269
164,18580.41633439064
165,18811.321321725845
166,19023.92231655121
167,19221.52833628654
168,19356.54431700706
169,19563.424344301224
170,19785.95833468437
171,19993.524316310883
172,20211.5363521576
173,20423.280333042145
174,20623.69533681869
175,20859.59931755066
176,21063.4383161068
177,21257.304347276688
178,21516.16234922409
179,21706.718347787857
180,21906.079335212708
181,22127.46435570717
182,22317.633421659462
183,22547.71532845497
184,22760.325820684433
185,23019.20487880707
186,23285.10194969177
187,23493.303022384644
188,23738.591049909588
189,23977.782042264946
190,24173.952004671093
191,24358.779011487957
192,24586.58603811264
193,24811.64802265167
194,25094.634004592896
195,25275.017024278644
196,25501.28803348541
197,25738.954056978222
198,25968.89002680778
199,26212.606053590767
200,26468.10902476311
201,26673.17804431916
202,26914.6270031929
203,27119.48404431344
204,27327.899043798447
205,27524.64306354523
206,27794.752029180527
207,27994.56103157997
208,28271.79500579834
209,28522.174005508423
210,28719.298002958287
211,29000.038017988198
212,29241.257057666782
213,29514.11100625992
214,29802.64804291725
215,30095.175006628044
216,30298.068004131317
217,30545.85500431061
218,30781.529050111767
219,31029.811041355133
220,31324.96600437165
221,31523.189028739933
222,31734.86302614212
223,32046.375023126602
224,32277.388036727905
225,32521.13400697708
226,32791.86700487137
227,33018.038055896766
228,33227.266005039215
229,33486.39303660393
230,33737.571021318436
231,34046.27000617982
232,34371.87000441551
233,34597.72100496292
234,34891.176020383835
235,35117.58600449562
236,35308.173041820526
237,35614.71808171272
238,35886.336004018776
